location,time,temperature,humidity,wind_speed,wind_direction,cloud_cover,hourly_qpf,probability_of_precipitation
Altadena,2024-07-31T19:00:00-07:00,81.0,38.0,6,230,8.0,0.0,0.0
Altadena,2024-07-31T20:00:00-07:00,76.0,47.0,2,190,8.0,0.0,0.0
Altadena,2024-07-31T21:00:00-07:00,72.0,55.0,2,190,8.0,0.0,0.0
Altadena,2024-07-31T22:00:00-07:00,70.0,59.0,2,190,8.0,0.0,0.0
Altadena,2024-07-31T23:00:00-07:00,68.0,66.0,2,150,18.0,0.0,0.0
Altadena,2024-08-01T00:00:00-07:00,66.0,68.0,2,150,18.0,0.0,0.0
Altadena,2024-08-01T01:00:00-07:00,65.0,68.0,2,150,18.0,0.0,0.0
Altadena,2024-08-01T02:00:00-07:00,64.0,68.0,2,130,18.0,0.0,0.0
Altadena,2024-08-01T03:00:00-07:00,64.0,68.0,2,130,18.0,0.0,0.0
Altadena,2024-08-01T04:00:00-07:00,64.0,68.0,2,130,18.0,0.0,0.0
Altadena,2024-08-01T05:00:00-07:00,63.0,68.0,2,140,49.0,0.0,1.0
Altadena,2024-08-01T06:00:00-07:00,64.0,65.0,2,140,49.0,0.0,1.0
Altadena,2024-08-01T07:00:00-07:00,64.0,70.0,2,140,49.0,0.0,1.0
Altadena,2024-08-01T08:00:00-07:00,69.0,63.0,5,210,49.0,0.0,1.0
Altadena,2024-08-01T09:00:00-07:00,73.0,57.0,5,210,49.0,0.0,1.0
Altadena,2024-08-01T10:00:00-07:00,78.0,50.0,5,210,49.0,0.0,1.0
Altadena,2024-08-01T11:00:00-07:00,81.0,45.0,6,180,59.0,0.0,12.0
Altadena,2024-08-01T12:00:00-07:00,86.0,38.0,6,180,59.0,0.0,12.0
Altadena,2024-08-01T13:00:00-07:00,88.0,34.0,6,180,59.0,0.0,12.0
Altadena,2024-08-01T14:00:00-07:00,90.0,33.0,7,200,59.0,0.0,12.0
Altadena,2024-08-01T15:00:00-07:00,90.0,34.0,7,200,59.0,0.0,12.0
Altadena,2024-08-01T16:00:00-07:00,89.0,34.0,7,200,59.0,0.0,12.0
Altadena,2024-08-01T17:00:00-07:00,89.0,35.0,6,240,46.0,0.0,12.0
Altadena,2024-08-01T18:00:00-07:00,85.0,38.0,6,240,46.0,0.0,12.0
Altadena,2024-08-01T19:00:00-07:00,83.0,40.0,6,240,46.0,0.0,12.0
Altadena,2024-08-01T20:00:00-07:00,77.0,50.0,3,190,46.0,0.0,12.0
Altadena,2024-08-01T21:00:00-07:00,74.0,58.0,3,190,46.0,0.0,12.0
Altadena,2024-08-01T22:00:00-07:00,73.0,61.0,3,190,46.0,0.0,12.0
Altadena,2024-08-01T23:00:00-07:00,71.0,70.0,3,150,43.0,0.0017,20.0
Altadena,2024-08-02T00:00:00-07:00,69.0,76.0,3,150,43.0,0.0017,20.0
Altadena,2024-08-02T01:00:00-07:00,68.0,79.0,3,150,43.0,0.0017,20.0
Altadena,2024-08-02T02:00:00-07:00,67.0,79.0,2,220,43.0,0.0017,20.0
Altadena,2024-08-02T03:00:00-07:00,67.0,78.0,2,220,43.0,0.0017,20.0
Altadena,2024-08-02T04:00:00-07:00,66.0,78.0,2,220,43.0,0.0017,20.0
Altadena,2024-08-02T05:00:00-07:00,66.0,78.0,2,140,43.0,0.0,8.0
Altadena,2024-08-02T06:00:00-07:00,67.0,79.0,2,140,43.0,0.0,8.0
Altadena,2024-08-02T07:00:00-07:00,68.0,79.0,2,140,43.0,0.0,8.0
